序号,学校名称,地区,院校类型,学科等级,学院/校区名称,专业代码,专业名称,考试科目组合,是否11408,2026改考,备注
1,清华大学,北京,985,A+,计算机系,081200,计算机科学与技术,101+201+301+408,部分,否,部分方向自命题826
2,北京大学,北京,985,A+,信息科学技术学院,081200,计算机系统结构等,101+201+301+408,是,否,
3,中国人民大学,北京,985,-,高瓴人工智能学院,081200,人工智能,101+201+301+408,是,否,
4,中国人民大学,北京,985,-,信息学院,081200,计算机系统结构,101+201+301+408,是,否,
5,北京工业大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
6,北京理工大学,北京,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
7,北京邮电大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
8,中国农业大学,北京,985,-,信息与电气工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
9,北京林业大学,北京,211,-,信息学院,081200,计算机科学与技术,101+201+301+408,是,否,
10,北京师范大学,北京,985,-,人工智能学院,081200,计算机应用技术,101+201+301+408,是,否,
11,中国传媒大学,北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
12,北京物资学院,北京,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
13,中央民族大学,北京,985,-,信息工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
14,华北电力大学,北京,211,-,控制与计算机工程学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
15,北京信息科技大学,北京,双非,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
16,中国矿业大学(北京),北京,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
17,中国地质大学(北京),北京,211,-,信息工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
18,中国科学院大学,北京,科研院所,-,多个研究所,081200,计算机科学与技术,101+201+301+408,是,否,
17,南京大学,江苏,985,A,计算机科学与技术系,081200,计算机科学与技术,101+201+301+408,是,否,
18,东南大学,江苏,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
19,南京理工大学,江苏,985,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
20,中国科学技术大学,安徽,985,A,计算机科学与技术学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
21,中国科学技术大学,安徽,985,A,软件学院,083500,软件工程,101+201+301+408,是,是,2026改考408
22,合肥工业大学,安徽,211,-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
23,武汉大学,湖北,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
24,武汉大学,湖北,985,A-,网络空间学院,083900,网络空间安全,101+201+301+408,是,否,
25,武汉大学,湖北,985,A-,测绘遥感信息工程学院,081200,计算机应用技术,101+201+301+408,是,否,
26,华中科技大学,湖北,985,A,计算机科学与技术学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
27,华中科技大学,湖北,985,A,网络空间安全学院,083900,网络空间安全,101+201+301+408,是,是,2026改考408
28,中南大学,湖南,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
29,湖南大学,湖南,985,B+,信息学院,081200,计算机科学与技术,101+201+301+408,是,否,
30,中山大学,广东,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
31,中山大学,广东,985,A-,网络空间安全学院,083900,网络空间安全,101+201+301+408,是,否,
32,中山大学,广东,985,A-,人工智能学院,081200,计算机科学与技术,101+201+301+408,是,否,
33,中山大学,广东,985,A-,软件工程学院,083500,软件工程,101+201+301+408,是,否,
34,华南理工大学,广东,985,-,计算机科学与工程学院,081200,计算机科学与技术,101+201+301+408,是,否,
35,电子科技大学,四川,985,A,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
36,四川大学,四川,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
37,西安交通大学,陕西,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408(网安学院)
38,西北工业大学,陕西,985,B+,计算机学院,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
39,南开大学,天津,985,A-,计算机学院,081200,计算机科学与技术,101+201+301+408,是,否,
40,天津大学,天津,985,A-,智能与计算学部,081200,计算机科学与技术,101+201+301+408,是,是,2026改考408
