序号,学校名称,地区,院校类型,学科等级,学院名称,专业代码,是否11408,2026改考,备注
1,清华大学,北京,985,A+,计算机系,081200,部分,否,部分方向自命题826
2,北京大学,北京,985,A+,信息科学技术学院,081200,是,否,计算机系统结构等
3,浙江大学,浙江,985,A+,计算机科学与技术学院,081200,是,否,
4,国防科技大学,湖南,985,A+,计算机学院,081200,需确认,需确认,2026政策待确认
5,北京航空航天大学,北京,985,A,计算机学院,081200,部分,否,部分方向自命题806
6,北京理工大学,北京,985,A-,计算机学院,081200,是,否,
7,中国人民大学,北京,985,-,高瓴人工智能学院,081200,是,否,人工智能
8,北京师范大学,北京,985,-,人工智能学院,081200,是,否,计算机应用技术
9,中国农业大学,北京,985,-,信息与电气工程学院,081200,是,否,
10,中央民族大学,北京,985,-,信息工程学院,081200,是,否,
11,上海交通大学,上海,985,A,电子信息与电气工程学院,081200,是,否,计算机科学与技术
12,复旦大学,上海,985,A-,计算机科学技术学院,081200,是,否,
13,同济大学,上海,985,A-,电子与信息工程学院,081200,是,否,
14,华东师范大学,上海,985,-,计算机科学与技术学院,081200,是,否,
15,南京大学,江苏,985,A,计算机科学与技术系,081200,是,否,
16,东南大学,江苏,985,A-,计算机学院,081200,部分,否,网络空间安全自命题
17,南京理工大学,江苏,985,-,计算机学院,081200,是,否,
18,中国科学技术大学,安徽,985,A,计算机科学与技术学院,081200,是,否,
19,中国科学技术大学,安徽,985,A,软件学院,083500,是,否,软件工程
20,合肥工业大学,安徽,211,-,计算机学院,081200,是,否,
21,武汉大学,湖北,985,A-,计算机学院,081200,是,否,
22,武汉大学,湖北,985,A-,网络空间学院,083900,是,否,网络空间安全
23,华中科技大学,湖北,985,A,计算机科学与技术学院,081200,是,否,
24,华中科技大学,湖北,985,A,网络空间安全学院,083900,是,否,
25,中南大学,湖南,985,A-,计算机学院,081200,是,否,
26,湖南大学,湖南,985,B+,信息学院,081200,是,否,
27,中山大学,广东,985,A-,计算机学院,081200,是,否,
28,中山大学,广东,985,A-,网络空间安全学院,083900,是,否,
29,华南理工大学,广东,985,-,计算机科学与工程学院,081200,是,否,
30,电子科技大学,四川,985,A,计算机学院,081200,部分,否,人工智能方向可能自命题
31,四川大学,四川,985,A-,计算机学院,081200,是,否,部分专业已改408
32,西安交通大学,陕西,985,A-,计算机学院,081200,是,否,
33,西北工业大学,陕西,985,B+,计算机学院,081200,是,否,
34,南开大学,天津,985,A-,计算机学院,081200,是,否,
35,天津大学,天津,985,A-,智能与计算学部,081200,是,是,2026改考408
36,山东大学,山东,985,A-,计算机科学与技术学院,081200,是,否,
37,中国海洋大学,山东,985,-,信息科学与工程学部,081200,是,否,
38,哈尔滨工业大学,黑龙江,985,A,计算机学院,081200,是,否,注意区分校区
39,吉林大学,吉林,985,B+,计算机科学与技术学院,081200,是,是,2026改考408
40,东北大学,辽宁,985,B+,计算机学院,081200,是,否,
41,大连理工大学,辽宁,985,B+,计算机学院,081200,是,否,
42,兰州大学,甘肃,985,B+,信息科学与工程学院,081200,是,否,
43,重庆大学,重庆,985,B+,计算机学院,081200,是,否,
44,厦门大学,福建,985,B+,信息学院,081200,需确认,否,需确认是否11408
45,西北农林科技大学,陕西,985,-,信息工程学院,081200,是,是,2026改考408
46,北京邮电大学,北京,211,-,计算机学院,081200,是,否,
47,北京交通大学,北京,211,-,计算机学院,081200,是,否,
48,北京科技大学,北京,211,-,计算机学院,081200,部分,否,部分自命题871
49,北京工业大学,北京,211,-,计算机学院,081200,是,否,
50,华北电力大学,北京,211,-,控制与计算机工程学院,081200,是,否,
