学校名称,所在地区,省份,城市,院校层次,学院名称,专业名称,专业代码,是否招收11408,备注
北京大学,华北地区,北京,北京,985,计算机学院,计算机科学与技术,081200,是,
清华大学,华北地区,北京,北京,985,计算机系,计算机科学与技术,081200,是,
浙江大学,华东地区,浙江,杭州,985,计算机学院,计算机科学与技术,081200,是,
上海交通大学,华东地区,上海,上海,985,电子信息与电气工程学院,计算机科学与技术,081200,是,
复旦大学,华东地区,上海,上海,985,计算机科学技术学院,计算机科学与技术,081200,是,
南京大学,华东地区,江苏,南京,985,计算机科学与技术系,计算机科学与技术,081200,是,
中国科学技术大学,华东地区,安徽,合肥,985,计算机科学与技术学院,计算机科学与技术,081200,是,
哈尔滨工业大学,东北地区,黑龙江,哈尔滨,985,计算机学院,计算机科学与技术,081200,是,注意区分哈尔滨/深圳/威海校区
华中科技大学,华中地区,湖北,武汉,985,计算机学院,计算机科学与技术,081200,是,
武汉大学,华中地区,湖北,武汉,985,计算机学院,计算机科学与技术,081200,是,
中山大学,华南地区,广东,广州,985,计算机学院,计算机科学与技术,081200,是,
西安交通大学,西北地区,陕西,西安,985,计算机学院,计算机科学与技术,081200,是,
电子科技大学,西南地区,四川,成都,985,计算机学院,计算机科学与技术,081200,是,
北京航空航天大学,华北地区,北京,北京,985,计算机学院,计算机科学与技术,081200,是,
北京理工大学,华北地区,北京,北京,985,计算机学院,计算机科学与技术,081200,是,
天津大学,华北地区,天津,天津,985,智能与计算学部,计算机科学与技术,081200,是,
南开大学,华北地区,天津,天津,985,计算机学院,计算机科学与技术,081200,是,
同济大学,华东地区,上海,上海,985,电子与信息工程学院,计算机科学与技术,081200,是,
东南大学,华东地区,江苏,南京,985,计算机学院,计算机科学与技术,081200,是,
厦门大学,华东地区,福建,厦门,985,信息学院,计算机科学与技术,081200,是,
山东大学,华东地区,山东,济南,985,计算机学院,计算机科学与技术,081200,是,
中南大学,华中地区,湖南,长沙,985,计算机学院,计算机科学与技术,081200,是,
四川大学,西南地区,四川,成都,985,计算机学院,计算机科学与技术,081200,是,
重庆大学,西南地区,重庆,重庆,985,计算机学院,计算机科学与技术,081200,是,
兰州大学,西北地区,甘肃,兰州,985,信息科学与工程学院,计算机科学与技术,081200,是,
西北工业大学,西北地区,陕西,西安,985,计算机学院,计算机科学与技术,081200,是,
大连理工大学,东北地区,辽宁,大连,985,计算机学院,计算机科学与技术,081200,是,
吉林大学,东北地区,吉林,长春,985,计算机学院,计算机科学与技术,081200,是,
东北大学,东北地区,辽宁,沈阳,985,计算机学院,计算机科学与技术,081200,是,
湖南大学,华中地区,湖南,长沙,985,信息学院,计算机科学与技术,081200,是,
