﻿序号,院校名称,地区,层次,2026复试线,2026录取最低分,2026录取平均分,2026录取最高分,统考名额,报录比,数据来源链接,备注
1,上海交通大学,,,,,,,,,,
2,上海科技大学,,,,,,,,,,
3,东北大学,,,,,,,,,,
4,东南大学,江苏,985/211,376,376,388,411,,,,灰灰考研统计（2026年5月13日）
5,中南大学,,,,,,,,,,
6,中国人民大学,北京,985/211,355,355,375,401,,,,灰灰考研统计（2026年5月13日）
7,中国农业大学,,,,,,,,,,
8,中国海洋大学,,,,,,,,,,
9,中国科学技术大学,安徽,985/211/C9,388,406,406,406,,,,灰灰考研统计（2026年5月13日）
10,中央民族大学,北京,985/211,304,312,333,376,,,,灰灰考研统计（2026年5月13日）
11,中山大学,,,,,,,,,,
12,兰州大学,,,,,,,,,,
13,北京交通大学,北京,211,329,329,357,399,,,,灰灰考研统计（2026年5月13日）
14,北京大学,北京,985/211/C9,340,350,392,427,,,,灰灰考研统计（2026年5月13日）
15,北京师范大学,,,,,,,,,,
16,北京理工大学,,,,,,,,,,
17,北京科技大学,北京,211,310,316,334,356,,,,灰灰考研统计（2026年5月13日）
18,北京航空航天大学,北京,985/211,360,363,398,428,,,,灰灰考研统计（2026年5月13日）
19,北京邮电大学,北京,211,328,338,366,410,,,,灰灰考研统计（2026年5月13日）
20,华东师范大学,上海,985/211,264,365,365,365,,,,灰灰考研统计（2026年5月13日）
21,华中科技大学,湖北,985/211,360,373,386,420,,,,灰灰考研统计（2026年5月13日）
22,华南理工大学,,,,,,,,,,
23,南京大学,江苏,985/211/C9,371,371,386,420,,,,灰灰考研统计（2026年5月13日）
24,南京理工大学,江苏,211,330,330,358,398,,,,灰灰考研统计（2026年5月13日）
25,南京航空航天大学,江苏,211,340,341,368,403,,,,灰灰考研统计（2026年5月13日）
26,南京邮电大学,,,,,,,,,,
27,南开大学,天津,985/211,335,366,385,418,,,,灰灰考研统计（2026年5月13日）
28,厦门大学,,,,,,,,,,
29,合肥工业大学,安徽,211,337,340,363,409,,,,灰灰考研统计（2026年5月13日）
30,吉林大学,,,,,,,,,,
31,同济大学,,,,,,,,,,
32,哈尔滨工业大学,,,,,,,,,,
33,哈尔滨工程大学,,,,,,,,,,
34,四川大学,,,,,,,,,,
35,国防科技大学,,,,,,,,,,
36,复旦大学,,,,,,,,,,
37,大连理工大学,,,,,,,,,,
38,天津大学,天津,985/211,335,337,361,391,,,,灰灰考研统计（2026年5月13日）
39,山东大学,,,,,,,,,,
40,广东工业大学,,,,,,,,,,
41,杭州电子科技大学,,,,,,,,,,
42,武汉大学,湖北,985/211,295,338,338,338,,,,灰灰考研统计（2026年5月13日）
43,武汉理工大学,湖北,211,334,344,370,395,,,,灰灰考研统计（2026年5月13日）
44,江苏大学,,,,,,,,,,
45,河海大学,,,,,,,,,,
46,浙江大学,,,,,,,,,,
47,浙江工业大学,,,,,,,,,,
48,深圳大学,,,,,,,,,,
49,清华大学,北京,985/211/C9,332,332,347,370,,,,灰灰考研统计（2026年5月13日）
50,湖南大学,,,,,,,,,,
51,燕山大学,,,,,,,,,,
52,电子科技大学,四川,985/211,340,344,370,410,,,,灰灰考研统计（2026年5月13日）
53,福州大学,福建,211,318,318,349,399,,,,灰灰考研统计（2026年5月13日）
54,苏州大学,,,,,,,,,,
55,西北农林科技大学,,,,,,,,,,
56,西北工业大学,陕西,985/211,350,351,368,398,,,,灰灰考研统计（2026年5月13日）
57,西南交通大学,四川,211,320,323,352,405,,,,灰灰考研统计（2026年5月13日）
58,西安交通大学,,,,,,,,,,
59,西安电子科技大学,陕西,211,335,340,361,400,,,,灰灰考研统计（2026年5月13日）
60,重庆大学,,,,,,,,,,
61,重庆邮电大学,,,,,,,,,,
