图片文件名,院校名称,复试线,录取最低分,录取最高分,录取平均分,招生人数,备注,置信度,原始文本
微信图片_20260513142615_794_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142616_795_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142619_796_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142622_797_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142623_798_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142627_799_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142629_800_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142632_801_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142634_802_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513142643_803_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144545_805_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144546_806_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144548_807_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144549_808_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144550_809_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144552_810_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144553_812_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144554_813_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144556_814_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144557_815_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144558_816_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144559_817_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144601_818_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144602_819_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513144604_820_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160336_837_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160339_838_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160341_839_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160344_840_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160439_841_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160442_842_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160444_843_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160445_844_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160446_845_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160447_846_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160448_847_45.jpg,,,,,,,OCR识别失败,低,
微信图片_20260513160449_848_45.jpg,,,,,,,OCR识别失败,低,
